node_id,lat,lng,degree,connected_neighbours
n_0,12.75168,80.19579,3,"n_106;n_107;n_108"
n_1,12.752054,80.195857,3,"n_107;n_108;n_38"
n_2,12.752276,80.197972,3,"n_3;n_74;n_99"
n_3,12.752345,80.198533,3,"n_121;n_2;n_42"
n_4,12.752822,80.200413,1,"n_5"
n_5,12.75263,80.200473,3,"n_4;n_6;n_66"
n_6,12.752252,80.200589,3,"n_133;n_5;n_66"
n_7,12.752269,80.20305,1,"n_65"
n_8,12.751768,80.197052,3,"n_127;n_136;n_177"
n_9,12.75148,80.194609,3,"n_103;n_16;n_85"
n_10,12.751546,80.194549,3,"n_103;n_11;n_179"
n_11,12.751478,80.194473,3,"n_10;n_103;n_86"
n_12,12.751471,80.193225,3,"n_139;n_19;n_80"
n_13,12.750496,80.193229,3,"n_18;n_83;n_88"
n_14,12.750611,80.193424,3,"n_18;n_181;n_88"
n_15,12.750678,80.195224,3,"n_183;n_36;n_84"
n_16,12.751423,80.195211,4,"n_104;n_37;n_85;n_9"
n_17,12.751483,80.19579,4,"n_105;n_106;n_109;n_190"
n_18,12.750514,80.193353,3,"n_13;n_14;n_83"
n_19,12.7511,80.19309,4,"n_12;n_141;n_80;n_88"
n_20,12.75192,80.192957,1,"n_93"
n_21,12.752697,80.194281,4,"n_186;n_22;n_23;n_95"
n_22,12.752687,80.194137,1,"n_21"
n_23,12.75263,80.19436,3,"n_21;n_95;n_96"
n_24,12.753252,80.194768,1,"n_96"
n_25,12.752309,80.196059,3,"n_100;n_111;n_75"
n_26,12.753155,80.195754,3,"n_101;n_39;n_40"
n_27,12.75298,80.1952,3,"n_101;n_76;n_96"
n_28,12.75323,80.196753,3,"n_119;n_185;n_29"
n_29,12.753171,80.196771,3,"n_119;n_28;n_32"
n_30,12.752689,80.196801,4,"n_116;n_117;n_118;n_31"
n_31,12.752608,80.196684,3,"n_111;n_117;n_30"
n_32,12.752985,80.19663,3,"n_110;n_118;n_29"
n_33,12.751694,80.198309,3,"n_191;n_44;n_56"
n_34,12.750246,80.195352,3,"n_35;n_50;n_82"
n_35,12.750337,80.195229,3,"n_34;n_82;n_84"
